video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed,description
UEhsFEgsI5U,18.04.03,"Fahrenheit 451 (2018) Official Teaser ft. Michael B. Jordan & Michael Shannon | HBO","HBO",1,2018-02-26T17:59:20.000Z,"Ray Bradbury"|"Fahrenheit 451"|"Guy Montag"|"fireman"|"Clarisse McClellan"|"Beatty"|"Sofia Boutella"|"Michael Shannon"|"Michael B. Jordan"|"Drama"|"Sci-Fi"|"books"|"burn"|"burning"|"fire"|"burning books"|"rebel"|"HBO"|"HBO Films"|"films"|"movie"|"2018"|"trailer"|"official teaser"|"MBJ",1966776,30903,2361,6549,https://i.ytimg.com/vi/UEhsFEgsI5U/default.jpg,False,False,False,"Fahrenheit 451 is based on Ray Bradbury's classic novel. In a future where the media is an opiate, history is rewritten and firemen burn books, Jordan plays Guy Montag, a young fireman who struggles with his role as law enforcer and with his mentor, played by Shannon. Premieres Spring 2018 on HBO.\n\n#Fahrenheit451 #HBOFilms\n\nSubscribe to the HBO YouTube Channel: https://goo.gl/JQUfqt\n \nDon’t have HBO? Order Now: https://play.hbonow.com/\n\nGet More HBO:\nGet HBO GO: https://play.hbogo.com/\nLike on Facebook: https://www.facebook.com/HBO\nFollow on Twitter: https://twitter.com/hbo\nLike on Instagram: https://www.instagram.com/hbo/\nSubscribe on Tumblr: http://hbo.tumblr.com/\nOfficial Site: http://www.hbo.com"
c0arVTRwytA,18.04.03,"【公式】「劇場版ポケットモンスター みんなの物語」予告編1","ポケモン公式YouTubeチャンネル",1,2018-02-27T01:00:03.000Z,"pokemon"|"Pokémon"|"ポケモン"|"ポケットモンスター"|"みんなの物語"|"ピカチュウ"|"サトシ"|"映画"|"ポケモン映画"|"イーブイ"|"ウソッキー"|"ラッキー"|"ワニノコ"|"トゲピー"|"マリル"|"ムチュール"|"ルギア"|"映画再生リスト",1144917,0,0,0,https://i.ytimg.com/vi/c0arVTRwytA/default.jpg,True,True,False,"2018年7月13日（金）公開 「劇場版ポケットモンスター みんなの物語」\n映画公式サイト　http://www.pokemon-movie.jp/\n\nこの夏、“キミにきめた！”に続く、\n感動ストーリー「みんなの物語」ここに爆誕！\n\n■ストーリー\n人々が風と共に暮らす街・フウラシティでは、\n1年に1度だけ開催される“風祭り”が行われていた。\n祭りの最終日には伝説のポケモン・ルギアが現れて、\n恵みの風をもたらすという古くからの言い伝えが残る中、\n街に集まる人々はそれぞれの想いを抱きながら、祭りに参加していた……。\n\nポケモン初心者の女子高生、リサ。\n嘘がやめられなくなってしまったホラ吹き男、カガチ。\n自分に自信が持てない気弱な研究家、トリト。\nポケモンを毛嫌いする変わり者のおばあさん、ヒスイ。\n森の中で一人佇む謎の少女、ラルゴ。\n\nサトシとピカチュウが彼らと出会い、\nみんなの物語が動き出す――。\n\n\n©Nintendo･Creatures･GAME FREAK･TV Tokyo･ShoPro･JR Kikaku \n©Pokémon ©2018 ピカチュウプロジェクト"
YFHHGETsxkE,18.04.03,"PAPERS, PLEASE - The Short Film (2018) 4K SUBS","Никита Ордынский",1,2018-02-24T15:59:25.000Z,"кино"|"короткий метр"|"короткометражка"|"short film"|"short"|"film"|"papers please"|"papers please game"|"lucas pope"|"Mikey Murphy"|"FLOAT"|"directed"|"shot"|"produced"|"festival"|"drama"|"thriller"|"horror"|"entertainment"|"короткометражный"|"Short Film (Film Genre)"|"Noah"|"Lalonde"|"Oats"|"OatsStudios"|"Neill Blomkamp"|"neillblomkamp"|"rakka"|"Sci-Fi"|"District 9"|"district9"|"chappie"|"Trump"|"Bieber"|"movie"|"jacksepticeye"|"animation"|"cartoon"|"reaction"|"sped up"|"funny"|"loadingreadyrun"|"Куплинов"|"Kuplinov"|"mega64"|"borders"|"laws"|"passport"|"immigration",1640547,154756,1174,9109,https://i.ytimg.com/vi/YFHHGETsxkE/default.jpg,False,False,False,"SUBTITLES AVAILABLE (EN, RU, CS, DA, DE, EL, ES, FR, HU, IT, JP, KO, NL, NO, PL, PT, RO, SR, SV, TH, TR, ZN)\n\nAdd film in STEAM - http://store.steampowered.com/app/804320/Papers_Please__The_Short_Film/\n\nJOIN our groups:\nFB - https://www.facebook.com/paperspleasefilm/\nVK - https://vk.com/paperspleasefilm\n\nUse hashtag #paperspleasefilm\nMake EVERYONE know about the film!\n\nAn official adaptation of the award winning game Papers, Please by Lucas Pope.\nWritten by Nikita Ordynskiy, Liliya Tkach and Lucas Pope. \nProduced by Liliya Tkach.\nDirected by Nikita Ordynskiy.\nKINODOM Productions, 2018. \n\nPapers, Please and the red eagle logo are registered trademarks of 3909 LLC. Used with permission.\n\n----------------------------------------------------------------------------------------------------------\nPAPERS, PLEASE - The Short Film | ВАШИ ДОКУМЕНТЫ\nОфициальная экранизация видеоигры Лукаса Поупа Papers, Please.\nСценарий Никиты Ордынского, Лилии Ткач и Лукаса Поупа.\nПродюсер Лилия Ткач. \nРежиссёр Никита Ордынский.\n\nДобавляйте фильм в STEAM - http://store.steampowered.com/app/804320/Papers_Please__The_Short_Film/\n\nПОДПИСЫВАЙТЕСЬ:\nFacebook - https://www.facebook.com/paperspleasefilm/\nVK - https://vk.com/paperspleasefilm\n\nИспользуйте хештег #paperspleasefilm\nПусть о фильме узнают ВСЕ!\n\n#papersplease #paperspleasefilm"
OTu9N40E_MI,18.04.03,"BEST F(R)IENDS | Official Trailer [HD] (2018) Tommy Wiseau, Greg Sestero","Best F(r)iends",1,2018-02-23T18:00:38.000Z,"Tommy Wiseau"|"Greg Sestero"|"The Room"|"The Disaster Artist"|"Best Friends"|"Best F(r)iends"|"Best Friends Movie"|"Best F(r)iends Movie"|"Comedy"|"Thriller"|"Daniel Platzman"|"Nice Legs",205011,3955,68,520,https://i.ytimg.com/vi/OTu9N40E_MI/default.jpg,False,False,False,"The Room's Tommy Wiseau and Greg Sestero. Together again.\nTICKETS AVAILABLE NOW: http://BestFriends.Movie\nVOLUME ONE | March 30 & April 2 // VOLUME TWO | June 1 & 4 \n\nRelease Information: https://www.fathomevents.com/events/best-friends\n\n'Best F(r)iends' is a two-volume cinematic saga written and produced by Greg Sestero. Directed by Justin MacGregor. Featuring an original score by Daniel Platzman of Imagine Dragons.\n\n•••••••••\n\nWhen a drifter (Greg Sestero) is taken in by a peculiar mortician (Tommy Wiseau), the two hatch an underground enterprise off the back of the mortician's old habits. But greed, hatred, and jealousy soon come in turn, and their efforts unravel, causing the drifter to run off with the spoils and leaving the mortician adrift. An expedition across the South West introduces wild and crazy characters through a series of twisted and dark foibles as both men learn a valuable lesson about friendship and loyalty.\n\n•••••••••\n\nFor more information:\n\nOfficial Website: http://www.bf-movie.com\nFacebook: http://www.facebook.com/bestfriendsmo...\nInstagram: http://www.instagram.com/bf_movie\nTwitter: http://www.twitter.com/bf_movie\n\nThis trailer features original music by Japan-based American duo, Nice Legs (named after Tommy Wiseau's line in The Room), who worked on the film's soundtrack. For more information on Nice Legs, visit:\n\nOfficial Website: http://www.wearenicelegs.com\nFacebook: http://www.facebook.com/wearenicelegs"
nRRBajXoN4M,18.04.03,"On Chesil Beach Trailer #1 | Movieclips Trailers","Movieclips Trailers",1,2018-02-22T16:01:34.000Z,"On Chesil Beach"|"On Chesil Beach Trailer"|"On Chesil Beach Movie Trailer"|"On Chesil Beach Trailer 2018"|"On Chesil Beach Official Trailer"|"Trailer"|"Trailers"|"Movie Trailer"|"2018 Trailers"|"Trailer 1"|"Movieclips Trailers"|"Movieclips"|"Fandango"|"On Chesil Beach Bleeker Street"|"Bleeker Street"|"Drama",182143,2290,209,278,https://i.ytimg.com/vi/nRRBajXoN4M/default.jpg,False,False,False,"Check out the official On Chesil Beach trailer starring Saoirse Ronan! Let us know what you think in the comments below.\n► Buy Tickets to On Chesil Beach: https://www.fandango.com/on-chesil-beach-209080/movie-overview?cmp=MCYT_YouTube_Desc\n\nUS Release Date: June 15, 2018\nStarring: Saoirse Ronan, Emily Watson, Anne-Marie Duff\nDirected By: Dominic Cooke\nSynopsis: A drama set in the early 1960s and centered on a young couple on their honeymoon.\n\nWatch More Trailers: \n► Hot New Trailers: http://bit.ly/2qThrsF\n► Drama Trailers: http://bit.ly/2ARA8Nk\n► Indie Trailers: http://bit.ly/2Ey7fYy\n\nFuel Your Movie Obsession: \n► Subscribe to MOVIECLIPS TRAILERS: http://bit.ly/2CNniBy\n► Watch Movieclips ORIGINALS: http://bit.ly/2D3sipV\n► Like us on FACEBOOK: http://bit.ly/2DikvkY\n► Follow us on TWITTER: http://bit.ly/2mgkaHb\n► Follow us on INSTAGRAM: http://bit.ly/2mg0VNU\n\nThe Fandango MOVIECLIPS TRAILERS channel delivers hot new trailers, teasers, and sneak peeks for all the best upcoming movies. Subscribe to stay up to date on everything coming to theaters and your favorite streaming platform."
ixNNLvyCn5Y,18.04.03,"映画『BLEACH』特報【HD】2018年7月20日（金）公開","ワーナー ブラザース 公式チャンネル",1,2018-02-21T05:17:53.000Z,"ブリーチ"|"BLEACH"|"福士蒼汰"|"佐藤信介"|"週刊少年ジャンプ"|"完結"|"久保帯人"|"黒崎一護"|"朽木ルキア"|"斬魄刀"|"ソウルソサエティ"|"ホロウ"|"ぼくは明日、昨日のきみとデートする"|"曇天に笑う"|"ちょっと今から仕事やめてくる"|"GANTZ"|"図書館戦争"|"アイアムアヒーロー"|"デスノート"|"集英社"|"WB"|"ワーナー"|"ワーナー・ブラザース"|"実写"|"映画",1231945,0,0,0,https://i.ytimg.com/vi/ixNNLvyCn5Y/default.jpg,True,True,False,"死神、見参。\n\n全世界累計発行部数1億2,000万部の国民的人気コミックが実写映画化！悪霊・虚〈ホロウ〉VS. 死神の戦いを、壮大なスケールで描くバトルアクション超大作！\n\n■『BLEACH』2018年7月20日（金）全国ロードショー\n映画オフィシャルサイト：http://bleach-movie.jp\n映画オフィシャルTwitter：https://twitter.com/bleach_moviejp\n#映画ブリーチ\n\n出演：福士蒼汰　杉咲花\n監督：佐藤信介　脚本：羽原大介　佐藤信介　音楽：やまだ豊\n原作：「BLEACH」久保帯人（集英社ジャンプ　コミックス刊 ）\n製作：映画「BLEACH」製作委員会\n制作プロダクション：シネバザール\n配給：ワーナー・ブラザース映画\n\n©久保帯人／集英社 ©2018 映画「BLEACH」製作委員会"
aAG9G35ioT8,18.04.03,"BLACK PANTHER Movie Review- REEL IT IN","ralphthemoviemaker",1,2018-02-18T06:19:58.000Z,"Black Panther"|"ralphthemoviemaker",394335,17750,1357,6185,https://i.ytimg.com/vi/aAG9G35ioT8/default.jpg,False,False,False,"@ralphsepe\nPatreon: https://www.patreon.com/user?utm_source=twitter&utm_medium=social&ty=h&u=3371554&utm_campaign=creatorshare\nTwitter: https://twitter.com/ralphsepe\nT-Shirts: https://www.teepublic.com/user/ralphthemoviemaker\nInstagram: https://www.instagram.com/ralphthemoviemaker/\nFacebook: https://www.facebook.com/ralphthemoviemaker/\n\nBlack Panther is a 2018 American superhero film based on the Marvel Comics character of the same name. Produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures, it is the eighteenth film in the Marvel Cinematic Universe (MCU). The film is directed by Ryan Coogler from a screenplay by him and Joe Robert Cole, and stars Chadwick Boseman as T'Challa / Black Panther, alongside Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Angela Bassett, Forest Whitaker, and Andy Serkis. In Black Panther, T'Challa returns home as king of Wakanda but finds his sovereignty challenged by a long-time adversary, in a conflict that has global consequences."
ILZ7Oy3gM5U,18.04.03,"Dumping on Fifty Shades Freed for 25 Minutes","Jenny Nicholson",1,2018-02-17T10:08:16.000Z,"fifty shades of grey"|"or is it gray",219288,8654,237,1535,https://i.ytimg.com/vi/ILZ7Oy3gM5U/default.jpg,False,False,False,"I didn't even talk about the part where Christian Grey starts playing the piano and singing and even the characters inside the story are surprised and confused.\n\nClick the fanfic that deserves to be made into a movie more than Fifty Shades of Grey:\nA teenage girl's Twilight fanfiction where she casts herself as Bella and her real-life crush as the romantic lead - https://www.patreon.com/JennyNicholson\nReylo coffee shop AU, released into theaters as Episode IX - https://twitter.com/JennyENicholson\nA brony's fanfic where he goes to Equestria and he meets all the ponies and has to protect them because he's very strong - https://www.instagram.com/spider_jewel/\nLucius Malfoy/Arthur Weasley forbidden romance - https://www.facebook.com/JennyNicholsonVids/\nHomestuck vore - https://spiderjewel.tumblr.com/"
YBpdL9hSac4,18.04.03,"Incredibles 2 - Olympics Sneak Peek","Disney•Pixar",1,2018-02-15T03:34:44.000Z,"Pixar"|"Disney"|"Disney Pixar"|"Pixar Movie"|"Animation"|"incredibles"|"the incredibles"|"incredibles 2"|"jack jack"|"mr. incredible"|"mrs. incredible"|"frozone"|"samuel l. jackson"|"violet parr"|"dash parr"|"sneak peek"|"trailer"|"new movie"|"family movie"|"summer movie"|"first look"|"teaser",40223044,454827,21737,49532,https://i.ytimg.com/vi/YBpdL9hSac4/default.jpg,False,False,False,"The Incredibles are back on June 15.  💥 Watch a brand-new sneak peek of Incredibles 2 now!\n\n---\n\nDisney/Pixar’s Incredibles 2 opens in theatres June 15!\n\nIn “Incredibles 2,” Helen (voice of Holly Hunter) is called on to lead a campaign to bring Supers back, while Bob (voice of Craig T. Nelson) navigates the day-to-day heroics of “normal” life at home with Violet (voice of Sarah Vowell), Dash (voice of Huck Milner) and baby Jack-Jack—whose superpowers are about to be discovered. Their mission is derailed, however, when a new villain emerges with a brilliant and dangerous plot that threatens everything. But the Parrs don’t shy away from a challenge, especially with Frozone (voice of Samuel L. Jackson) by their side. That’s what makes this family so Incredible. \n\nHashtag: #Incredibles2\nFacebook: https://www.facebook.com/PixarTheIncredibles/\nTwitter: https://twitter.com/TheIncredibles\nInstagram: https://www.instagram.com/theincredibles/"
7bPSxB-8__o,18.04.03,"JUSTICE LEAGUE - Superman v. The Justice League RESCORED with Junkie XL/Hans Zimmer Music","ABdirector",1,2018-02-15T02:12:49.000Z,"Justice League"|"Rescore"|"Hans Zimmer"|"Junkie XL"|"Flashback FM"|"Batman v Superman"|"Dawn of Justice"|"Superman vs. Justice League"|"Wonder Woman"|"Flash"|"Arrow"|"Supergirl"|"Legends of Tomorrow"|"Black Panther"|"Cyborg"|"Aquaman"|"Doomsday"|"Darkseid"|"Apokolips"|"Zack Snyder"|"Cut"|"Joss Whedon"|"Warner Bros"|"Blu-Ray"|"Digital"|"Avengers"|"Infinity War"|"The Last Jedi"|"Star Wars"|"Steppenwolf"|"Captain America"|"Iron Man"|"Thor"|"Ragnarok"|"Hulk"|"Deadpool"|"Han Solo"|"Kryptonite"|"Krypton"|"ABdirector",2105062,13165,773,909,https://i.ytimg.com/vi/7bPSxB-8__o/default.jpg,False,False,False,"A Justice League Rescore by ABdirector. \n\nClick here to watch Superman's Resurrection Rescore which leads up to this video:\nhttps://youtu.be/in1FHhD7qy0\n\nThe fight between Superman and the League rescored with Junkie XL/Hans Zimmer Music. \n\nBy far my most complex re-edit of the Justice League utilizing a handful of great Hans Zimmer/Junkie XL music (Junkie is uncredited as a fellow composer of Man of Steel - he helped score such tracks as Arcade). \n\nMore to come."
