title,trending_date,sumDay,id
2017 Screenies Awards! - The Best & Worst in Movies & TV,"['18.16.01', '18.17.01', '18.18.01', '18.19.01', '18.20.01', '18.21.01', '18.22.01', '18.23.01', '18.24.01', '18.25.01']",10,1
360 Google Doodles/Spotlight Stories: Back to the Moon,"['18.04.05', '18.05.05', '18.06.05', '18.07.05', '18.08.05', '18.09.05', '18.10.05', '18.11.05', '18.12.05', '18.13.05', '18.14.05', '18.14.05']",12,1
81. I'm not good enough.,"['17.01.12', '17.02.12', '17.03.12', '17.04.12', '17.05.12', '17.06.12']",6,1
83. You + Me,"['18.30.01', '18.31.01', '18.01.02', '18.02.02', '18.03.02', '18.04.02', '18.05.02']",7,1
A Boogie Wit Da Hoodie - Somebody feat. Don Q [Official Music Video],"['18.02.02', '18.03.02', '18.04.02', '18.05.02', '18.06.02', '18.07.02', '18.08.02', '18.09.02', '18.10.02', '18.11.02', '18.12.02', '18.13.02', '18.14.02', '18.15.02', '18.16.02', '18.17.02', '18.18.02', '18.19.02', '18.20.02', '18.21.02', '18.22.02', '18.23.02', '18.24.02', '18.25.02', '18.26.02', '18.27.02', '18.28.02', '18.01.03']",28,1
A Cuphead Cartoon,"['17.20.11', '17.21.11', '17.22.11', '17.23.11', '17.24.11', '17.25.11', '17.26.11', '17.27.11', '17.28.11', '17.29.11', '17.30.11', '17.01.12', '17.02.12']",13,1
A Quiet Place (2018) - Official Trailer - Paramount Pictures,"['18.15.03', '18.16.03', '18.17.03', '18.18.03', '18.19.03', '18.20.03', '18.21.03']",7,1
A Very Special Message from Deadpool,"['18.05.04', '18.06.04', '18.07.04', '18.14.04', '18.15.04', '18.16.04', '18.17.04', '18.18.04', '18.19.04', '18.20.04']",10,1
A Wrinkle in Time Official US Trailer,"['17.21.11', '17.22.11', '17.23.11', '17.24.11', '17.25.11', '17.26.11', '17.27.11', '17.28.11', '17.29.11', '17.30.11', '17.01.12', '17.02.12', '17.03.12']",13,1
AVENGERS INFINITY WAR Loki Is DEAD Trailer NEW (2018) Superhero Movie HD,"['18.23.04', '18.24.04', '18.25.04', '18.26.04', '18.27.04', '18.28.04', '18.29.04', '18.30.04', '18.01.05', '18.02.05', '18.03.05', '18.04.05', '18.05.05']",13,1
AVENGERS INFINITY WAR Movie Clip - Black Order Fight Scene (2018) Marvel Superhero Movie HD,"['18.27.04', '18.28.04', '18.29.04']",3,1
Alita: Battle Angel | Official Trailer [HD] | 20th Century FOX,"['17.09.12', '17.10.12', '17.11.12', '17.12.12', '17.13.12', '17.14.12', '17.15.12', '17.16.12', '17.17.12', '17.18.12', '17.19.12', '17.20.12', '17.21.12', '17.22.12', '17.23.12', '17.24.12', '17.25.12', '17.26.12']",18,1
Andre The Giant Official Trailer (2018) | HBO,"['18.29.01', '18.30.01', '18.31.01', '18.01.02', '18.02.02', '18.03.02', '18.04.02', '18.05.02']",8,1
Annihilation (2018) - Evolution - Paramount Pictures,"['18.06.02', '18.07.02', '18.08.02', '18.09.02', '18.10.02', '18.11.02', '18.12.02', '18.13.02', '18.14.02']",9,1
Anon International Trailer #1 (2018) | Movieclips Trailers,"['18.18.04', '18.19.04', '18.20.04', '18.21.04', '18.22.04', '18.23.04', '18.24.04', '18.25.04', '18.26.04', '18.27.04', '18.28.04', '18.29.04', '18.06.05', '18.07.05', '18.08.05', '18.09.05', '18.10.05', '18.11.05', '18.12.05', '18.13.05', '18.14.05', '18.16.05', '18.17.05', '18.18.05', '18.19.05', '18.20.05']",26,1
Avengers: Infinity War reviewed by Mark Kermode,"['18.28.04', '18.29.04', '18.30.04', '18.01.05', '18.02.05', '18.03.05', '18.04.05', '18.05.05', '18.06.05', '18.07.05', '18.08.05', '18.09.05', '18.10.05', '18.13.05', '18.14.05']",15,1
"BEST F(R)IENDS | Official Trailer [HD] (2018) Tommy Wiseau, Greg Sestero","['18.25.02', '18.26.02', '18.27.02', '18.28.02', '18.01.03', '18.02.03', '18.03.03', '18.04.03', '18.05.03', '18.06.03', '18.07.03', '18.23.03', '18.24.03', '18.25.03', '18.26.03', '18.27.03', '18.28.03', '18.29.03']",18,1
BLACK PANTHER Movie Clip - Car Chase Scene (2018) Marvel Movie HD,"['18.01.02', '18.02.02']",2,1
BLACK PANTHER Movie Review- REEL IT IN,"['18.19.02', '18.20.02', '18.21.02', '18.22.02', '18.23.02', '18.24.02', '18.25.02', '18.26.02', '18.27.02', '18.28.02', '18.01.03', '18.02.03', '18.03.03', '18.04.03']",14,1
BOY TALK! | VALENTINES DAY EDITION | Sophia and Cinzia,"['18.15.02', '18.16.02', '18.17.02', '18.18.02', '18.19.02', '18.20.02', '18.21.02', '18.22.02', '18.23.02', '18.24.02']",10,1
Bad Times at the El Royale | Official Trailer [HD] | 20th Century FOX,"['18.08.06', '18.09.06', '18.10.06', '18.11.06', '18.12.06', '18.13.06', '18.14.06']",7,1
Best Friend From Heaven - Trailer (2017),"['17.25.11', '17.26.11', '17.27.11', '17.28.11', '17.29.11']",5,1
Black Panther - Cultural Appropriation,"['18.08.05', '18.09.05', '18.10.05', '18.11.05', '18.12.05', '18.13.05', '18.16.05', '18.17.05', '18.18.05', '18.19.05', '18.20.05']",11,1
Black Panther premieres in Kenya - BBC News,"['18.21.02', '18.22.02', '18.23.02', '18.24.02', '18.25.02', '18.26.02', '18.27.02']",7,1
Blade Runner 2049 - Memory Facility Scene [HD],"['18.08.01', '18.09.01', '18.12.01']",3,1
Blade Runner 2049 - The Evolution of Humanity,"['18.08.01', '18.09.01', '18.12.01', '18.13.01', '18.14.01', '18.15.01', '18.16.01', '18.17.01', '18.18.01']",9,1
Bohemian Rhapsody (2018) - Scene Bohemian Rhapsody Live AID,"['17.07.12', '17.08.12', '17.09.12', '17.10.12', '17.11.12', '17.12.12', '17.13.12']",7,1
Bohemian Rhapsody | Teaser Trailer [HD] | 20th Century FOX,"['18.16.05', '18.16.05', '18.17.05', '18.18.05', '18.19.05', '18.20.05', '18.21.05', '18.22.05', '18.23.05', '18.24.05', '18.25.05', '18.26.05', '18.27.05', '18.28.05', '18.29.05', '18.30.05', '18.31.05', '18.01.06', '18.02.06', '18.03.06', '18.04.06']",21,1
Bumblebee (2018) - Official Teaser Trailer - Paramount Pictures,"['18.06.06', '18.07.06', '18.08.06', '18.09.06', '18.10.06', '18.11.06', '18.12.06', '18.13.06', '18.14.06']",9,1
CHRISTOPHER ROBIN Official Trailer #2 (2018) Winnie The Pooh Disney Movie HD,"['18.26.05', '18.27.05', '18.28.05', '18.29.05', '18.30.05']",5,1
"CITY OF LIES Official Trailer (2018) Johnny Depp, Tupac, Biggie Movie HD","['18.22.05', '18.23.05', '18.24.05', '18.25.05', '18.26.05', '18.27.05', '18.28.05', '18.29.05', '18.30.05', '18.31.05', '18.01.06', '18.02.06', '18.03.06', '18.04.06', '18.05.06', '18.06.06']",16,1
COCO Movie Review... and Olaf's Frozen Adventure | Andre Black Nerd,"['17.30.11', '17.01.12', '17.02.12', '17.03.12', '17.04.12', '17.05.12', '17.06.12', '17.07.12', '17.08.12']",9,1
Christopher Robin Official Teaser Trailer,"['18.07.03', '18.08.03', '18.09.03', '18.10.03', '18.11.03', '18.12.03', '18.13.03', '18.14.03', '18.15.03', '18.16.03', '18.17.03', '18.18.03', '18.19.03', '18.20.03', '18.21.03', '18.22.03', '18.23.03', '18.24.03', '18.25.03', '18.26.03', '18.27.03', '18.28.03', '18.29.03', '18.30.03', '18.31.03', '18.01.04', '18.02.04', '18.03.04', '18.04.04', '18.05.04', '18.06.04', '18.07.04']",32,1
Christopher Robin Official Trailer,"['18.31.05', '18.01.06', '18.02.06', '18.03.06', '18.04.06', '18.05.06', '18.06.06', '18.07.06', '18.08.06', '18.09.06', '18.10.06', '18.11.06', '18.12.06', '18.13.06']",14,1
CineFix's 100 Most Talked About Movies,"['18.29.05', '18.30.05', '18.31.05', '18.01.06', '18.02.06', '18.03.06', '18.04.06', '18.05.06', '18.06.06']",9,1
DARK CRIMES Official Trailer (2018) Jim Carrey Thriller Movie HD,"['18.14.04', '18.15.04', '18.16.04', '18.17.04', '18.18.04', '18.19.04', '18.20.04', '18.21.04', '18.22.04', '18.23.04', '18.24.04', '18.25.04', '18.26.04', '18.27.04', '18.28.04', '18.29.04', '18.30.04', '18.01.05', '18.02.05', '18.03.05', '18.04.05', '18.05.05', '18.06.05', '18.07.05', '18.08.05', '18.09.05', '18.10.05', '18.11.05']",28,1
DISOBEDIENCE | Official Trailer | In theaters April 27,"['18.03.02', '18.04.02', '18.05.02', '18.06.02', '18.07.02', '18.08.02', '18.09.02', '18.10.02', '18.11.02', '18.12.02', '18.13.02', '18.14.02', '18.15.02', '18.16.02', '18.17.02', '18.18.02', '18.19.02', '18.20.02', '18.21.02', '18.22.02', '18.23.02', '18.24.02', '18.25.02', '18.26.02', '18.27.02', '18.28.02', '18.01.03']",27,1
DREDD'S MEGA-CITY ONE EFFECTS,"['18.24.01', '18.25.01', '18.26.01', '18.27.01', '18.28.01', '18.29.01', '18.30.01', '18.31.01', '18.01.02']",9,1
DVV Trophy Cyclocross Flandriencross 2017 Hamme (BEL) - Full race,"['17.29.11', '17.30.11', '17.01.12', '17.02.12', '17.03.12', '17.04.12', '17.05.12']",7,1
Dangers of Internet - BAD Advice - MrWeebl,"['18.21.01', '18.22.01']",2,1
David Bowie: The Last Five Years (2018) | Teaser Trailer | HBO,"['17.14.12', '17.15.12', '17.16.12', '17.17.12', '17.18.12', '17.19.12', '17.20.12', '17.21.12', '17.22.12', '17.23.12', '17.24.12', '17.25.12', '17.26.12', '17.27.12', '17.28.12', '17.29.12', '17.30.12']",17,1
Day of the Dead: Bloodline Red-Band Trailer (2018),"['17.10.12', '17.11.12', '17.12.12', '17.13.12', '17.14.12', '17.15.12', '17.16.12', '17.17.12', '17.18.12', '17.19.12']",10,1
Deadpool 2 | Behind The Scenes of Ashes with Céline Dion | 20th Century FOX,"['18.08.05', '18.09.05', '18.10.05']",3,1
Deadpool 2 | With Apologies to David Beckham,"['18.11.05', '18.12.05', '18.13.05', '18.15.05', '18.15.05']",5,1
Deadpool 2: The Final Trailer,"['18.21.04', '18.22.04', '18.23.04', '18.24.04', '18.25.04', '18.26.04', '18.27.04', '18.28.04', '18.29.04', '18.30.04', '18.01.05', '18.02.05', '18.03.05', '18.04.05', '18.05.05', '18.06.05', '18.07.05', '18.14.05']",18,1
"Deadpool, Meet Cable","['18.08.02', '18.09.02', '18.10.02', '18.11.02', '18.12.02', '18.13.02', '18.14.02', '18.15.02', '18.16.02', '18.17.02', '18.18.02', '18.19.02', '18.20.02', '18.21.02', '18.22.02', '18.23.02', '18.24.02', '18.25.02', '18.26.02', '18.27.02', '18.28.02', '18.01.03', '18.02.03', '18.03.03', '18.04.03', '18.05.03', '18.06.03', '18.07.03', '18.08.03', '18.09.03', '18.10.03', '18.11.03', '18.12.03', '18.13.03', '18.14.03', '18.15.03']",36,1
Death Wish | Official Trailer 2,"['18.05.01', '18.06.01', '18.07.01', '18.08.01', '18.09.01', '18.12.01', '18.13.01', '18.14.01', '18.15.01', '18.16.01', '18.17.01', '18.18.01']",12,1
Destination Wedding Trailer #1 (2018) | Movieclips Trailers,"['18.21.05', '18.22.05', '18.23.05']",3,1
Dimitri Vegas & Like Mike vs Steve Aoki ft Abigail Breslin – We Are Legend,"['17.28.12', '17.29.12', '17.30.12', '17.31.12', '18.01.01', '18.02.01', '18.03.01', '18.04.01', '18.05.01', '18.06.01', '18.07.01', '18.08.01', '18.09.01', '18.12.01']",14,1
Dumbo Official Teaser Trailer,['18.14.06'],1,1
Dumping on Fifty Shades Freed for 25 Minutes,"['18.18.02', '18.19.02', '18.20.02', '18.21.02', '18.22.02', '18.23.02', '18.24.02', '18.25.02', '18.26.02', '18.27.02', '18.28.02', '18.01.03', '18.02.03', '18.03.03', '18.04.03', '18.05.03', '18.06.03', '18.07.03', '18.08.03', '18.09.03', '18.10.03', '18.11.03']",22,1
EVERY DAY Official Trailer (2018),"['17.19.12', '17.20.12', '17.21.12', '17.22.12', '17.23.12', '17.24.12', '17.25.12', '17.26.12', '17.27.12', '17.28.12', '17.29.12', '17.30.12', '17.31.12', '18.01.01', '18.02.01', '18.03.01', '18.04.01']",17,1
Eagles Fan Gets Wrecked by Pole,"['18.24.01', '18.25.01', '18.26.01', '18.27.01', '18.28.01', '18.29.01', '18.30.01', '18.31.01', '18.01.02', '18.02.02', '18.03.02', '18.04.02', '18.05.02', '18.06.02', '18.07.02', '18.08.02', '18.09.02', '18.10.02', '18.11.02']",19,1
